code,name,district,region,percentage_pass,national_rank,candidates_last,number_pass_last,percentage_pass_last,national_rank_last,school_type,ownership,ward,number_enrolled,number_teaching_staff,number_non_teaching_staff_by_school,number_non_teaching_staff_by_govt,candidates,number_pass,percentage_pass_change,longitude,latitude,Location
PS0704-021,Kiriki Primary School,Mwanga,Kilimanjaro,71.42857143,4160,18,12,66.66666667,1877,primary,government,Kighare,130,7,1,0,14,10,4.761904762,37.6633039,-3.6718422,"(-3.6718422, 37.6633039)"
PS0704-022,Kirongwe Primary School,Mwanga,Kilimanjaro,79.31034483,2250,29,12,41.37931034,2871,primary,government,Kirongwe,253,8,2,0,29,23,37.93103448,37.6709738473,-3.70844777,"(-3.70844777, 37.6709738473)"
PS0704-023,Kirya Primary School,Mwanga,Kilimanjaro,33.33333333,8634,19,5,26.31578947,3891,primary,government,Kirya,218,5,,0,15,5,7.01754386,37.4866209594,-3.9220718382,"(-3.9220718382, 37.4866209594)"
PS0704-024,Kiruru Primary School,Mwanga,Kilimanjaro,32.78688525,9966,63,19,30.15873016,5332,primary,government,Lembeni,373,12,4,0,61,20,2.628155087,37.5882559036,-3.7136643927,"(-3.7136643927, 37.5882559036)"
PS0704-025,Kisangara Primary School,Mwanga,Kilimanjaro,41.50943396,8072,83,26,31.3253012,5953,primary,government,Lembeni,396,10,3,0,53,22,10.18413276,37.5906833385,-3.738395107,"(-3.738395107, 37.5906833385)"
PS0704-026,Kisangara-juu Primary School,Mwanga,Kilimanjaro,84,2973,29,14,48.27586207,4019,primary,,,,,,,25,21,35.72413793,37.6404273994,-3.7373342089,"(-3.7373342089, 37.6404273994)"
PS0704-027,Kisangiro Primary School,Mwanga,Kilimanjaro,76,3842,30,4,13.33333333,8542,primary,government,Mwanga,186,8,,0,25,19,62.66666667,37.558166367,-3.6309437464,"(-3.6309437464, 37.558166367)"
PS0704-028,Kisanjuni Primary School,Mwanga,Kilimanjaro,100,1090,19,7,36.84210526,3271,primary,government,Kifula,151,6,,0,23,23,63.15789474,37.6645972486,-3.6373665848,"(-3.6373665848, 37.6645972486)"
PS0704-029,Kiti-cha-mungu Primary School,Mwanga,Kilimanjaro,83.72093023,3395,51,7,13.7254902,7195,primary,,,,,,,43,36,69.99544004,,,
PS0704-030,Kitivoni Primary School,Mwanga,Kilimanjaro,66.66666667,6111,22,1,4.545454546,11687,primary,government,Ngujini,143,7,,0,18,12,62.12121212,37.6284431181,-3.74377317,"(-3.74377317, 37.6284431181)"
PS0704-031,Kituri Primary School,Mwanga,Kilimanjaro,100,640,41,11,26.82926829,6097,primary,government,Kileo,302,8,,0,33,33,73.17073171,37.5447499248,-3.5074167099,"(-3.5074167099, 37.5447499248)"
PS0704-032,Kivindu Primary School,Mwanga,Kilimanjaro,55.55555556,6213,48,17,35.41666667,4617,primary,government,Kirongwe,367,11,2,0,54,30,20.13888889,37.665322944,-3.7004258291,"(-3.7004258291, 37.665322944)"
PS0704-033,Kiverenge Primary School,Mwanga,Kilimanjaro,43.75,8966,36,4,11.11111111,9378,primary,government,Mgagao,310,5,,0,48,21,32.63888889,37.613364055,-3.8053951308,"(-3.8053951308, 37.613364055)"
PS0704-034,Kivisini Primary School,Mwanga,Kilimanjaro,55.55555556,7183,26,7,26.92307692,6925,primary,government,Kivisini,156,6,,0,18,10,28.63247863,37.6372599896,-3.569004208,"(-3.569004208, 37.6372599896)"
PS0704-035,Kivulini Primary School,Mwanga,Kilimanjaro,60.46511628,5981,38,6,15.78947368,8541,primary,government,Kileo,299,8,2,0,43,26,44.67564259,37.5812765824,-3.4821401875,"(-3.4821401875, 37.5812765824)"
PS0704-036,Kwakoa Primary School,Mwanga,Kilimanjaro,61.11111111,5530,53,4,7.547169811,9252,primary,government,Kwakoa,311,7,5,0,54,33,53.5639413,37.7105524309,-3.7756448418,"(-3.7756448418, 37.7105524309)"
PS0704-037,Kwamsembea Primary School,Mwanga,Kilimanjaro,100,1015,22,21,95.45454545,1099,primary,government,Kighare,175,7,1,0,21,21,4.545454546,37.6584354,-3.6886395,"(-3.6886395, 37.6584354)"
PS0704-038,Langa'ta Primary School,Mwanga,Kilimanjaro,36.36363636,9842,21,5,23.80952381,6640,primary,,,,,,,22,8,12.55411255,37.4440822275,-3.6557595292,"(-3.6557595292, 37.4440822275)"
PS0704-039,Lambo Primary School,Mwanga,Kilimanjaro,60,8070,56,16,28.57142857,6441,primary,government,Shighatini,152,8,,0,20,12,31.42857143,37.6175967,-3.6490803,"(-3.6490803, 37.6175967)"
PS0704-040,Lembeni Primary School,Mwanga,Kilimanjaro,56.09756098,4738,33,12,36.36363636,3633,primary,government,Lembeni,340,8,,0,41,23,19.73392461,,,
PS0704-041,Lomwe Primary School,Mwanga,Kilimanjaro,37.03703704,9008,23,7,30.43478261,5009,primary,government,Kirongwe,134,6,,0,27,10,6.602254428,37.6856480472,-3.7150994121,"(-3.7150994121, 37.6856480472)"
PS0704-042,Lwami Primary School,Mwanga,Kilimanjaro,88,1094,24,8,33.33333333,4054,primary,government,Mwanga,131,7,,0,25,22,54.66666667,37.5966137507,-3.7001837689,"(-3.7001837689, 37.5966137507)"
PS0704-043,Makandeni Primary School,Mwanga,Kilimanjaro,34.7826087,9369,38,3,7.894736842,6872,primary,government,Chomvu,280,7,1,0,46,16,26.88787185,37.6697063266,-3.7312018051,"(-3.7312018051, 37.6697063266)"
PS0704-044,Mamba Primary School,Mwanga,Kilimanjaro,100,600,37,21,56.75675676,2752,primary,government,Msangeni,229,7,2,0,29,29,43.24324324,37.6506537771,-3.6547653599,"(-3.6547653599, 37.6506537771)"
PS0704-045,Managugu Primary School,Mwanga,Kilimanjaro,43.90243902,7875,61,17,27.86885246,6883,primary,government,Mwaniko,256,6,1,0,41,18,16.03358657,37.6755697333,-3.5886146722,"(-3.5886146722, 37.6755697333)"
PS0704-046,Mangara Primary School,Mwanga,Kilimanjaro,80,5139,53,27,50.94339623,3013,primary,government,Lembeni,253,11,2,0,40,32,29.05660377,37.5781420226,-3.7551878796,"(-3.7551878796, 37.5781420226)"
PS0704-047,Mangatu Primary School,Mwanga,Kilimanjaro,42.10526316,7714,22,9,40.90909091,4139,primary,government,Kirongwe,161,5,,0,19,8,1.196172249,37.6780529022,-3.70666759,"(-3.70666759, 37.6780529022)"
PS0704-048,Mangio Primary School,Mwanga,Kilimanjaro,50,7291,20,3,15,7952,primary,government,Mwaniko,166,8,,0,24,12,35,37.6649524777,-3.5976075065,"(-3.5976075065, 37.6649524777)"
PS0704-049,Mareti Primary School,Mwanga,Kilimanjaro,100,958,15,10,66.66666667,1430,primary,government,Kirongwe,142,6,,0,18,18,33.33333333,37.6860609954,-3.7037129336,"(-3.7037129336, 37.6860609954)"
PS0704-050,Masumbeni Primary School,Mwanga,Kilimanjaro,39.13043478,8313,39,16,41.02564103,4064,primary,government,Kifula,247,7,1,0,46,18,-1.895206243,,,
PS0704-051,Mbambua Primary School,Mwanga,Kilimanjaro,63.63636364,3086,30,15,50,2414,primary,government,Lembeni,240,9,3,0,33,21,13.63636364,37.6185403651,-3.7661783805,"(-3.7661783805, 37.6185403651)"
PS0704-052,Mbore Primary School,Mwanga,Kilimanjaro,70.21276596,5426,43,10,23.25581395,6715,primary,government,Kifula,258,10,,0,47,33,46.956952,,,
PS0704-053,Mcheni Primary School,Mwanga,Kilimanjaro,84.21052632,3096,28,14,50,3285,primary,government,Mwaniko,253,7,1,0,38,32,34.21052632,37.6711700881,-3.6057024175,"(-3.6057024175, 37.6711700881)"
PS0704-054,Mfinga Primary School,Mwanga,Kilimanjaro,74.07407407,3669,23,5,21.73913043,6970,primary,government,Shighatini,181,6,2,0,27,20,52.33494364,37.6281473796,-3.6786624972,"(-3.6786624972, 37.6281473796)"
PS0704-055,Mgagao Primary School,Mwanga,Kilimanjaro,43.58974359,8088,30,13,43.33333333,4407,primary,government,Mgagao,360,9,1,0,39,17,0.256410256,37.6564049321,-3.9186000595,"(-3.9186000595, 37.6564049321)"
PS0704-056,Mlevo Primary School,Mwanga,Kilimanjaro,8.695652174,13382,42,5,11.9047619,8987,primary,government,Kilomeni,275,7,,0,46,4,-3.209109731,37.669584039,-3.7585431066,"(-3.7585431066, 37.669584039)"
PS0704-057,Mramba Primary School,Mwanga,Kilimanjaro,76.92307692,2539,73,38,52.05479452,2498,primary,government,Mwanga,496,26,3,1,78,60,24.8682824,37.5862231849,-3.6668755679,"(-3.6668755679, 37.5862231849)"
PS0704-058,Mriti Primary School,Mwanga,Kilimanjaro,34.375,9784,22,1,4.545454546,11301,primary,government,Mwaniko,217,6,1,0,32,11,29.82954545,37.6822948711,-3.6256347653,"(-3.6256347653, 37.6822948711)"
PS0704-059,Mruma Primary School,Mwanga,Kilimanjaro,47.27272727,8808,41,4,9.756097561,9841,primary,government,Msangeni,335,8,,0,55,26,37.51662971,37.6381976296,-3.6226389008,"(-3.6226389008, 37.6381976296)"
PS0704-060,Msangeni Primary School,Mwanga,Kilimanjaro,84.21052632,2138,30,14,46.66666667,3600,primary,government,Msangeni,179,8,,0,19,16,37.54385965,37.6571746625,-3.6466080181,"(-3.6466080181, 37.6571746625)"
PS0704-061,Mwanga Primary School,Mwanga,Kilimanjaro,96.36363636,1440,67,45,67.1641791,1807,primary,government,Mwanga,416,10,,0,55,53,29.19945726,37.5879817645,-3.653375367,"(-3.653375367, 37.5879817645)"
PS0704-062,Mwero Primary School,Mwanga,Kilimanjaro,100,932,9,3,33.33333333,4780,primary,government,Kirongwe,82,6,,0,10,10,66.66666667,37.6721636411,-3.6893566081,"(-3.6893566081, 37.6721636411)"
PS0704-063,Ndambwe Primary School,Mwanga,Kilimanjaro,67.64705882,5491,31,3,9.677419355,7417,primary,government,Shighatini,231,5,2,0,34,23,57.96963947,37.6262173136,-3.6985480168,"(-3.6985480168, 37.6262173136)"
PS0704-064,Ndorwe Primary School,Mwanga,Kilimanjaro,66.66666667,5623,42,17,40.47619048,3212,primary,government,Chomvu,203,6,,0,33,22,26.19047619,,,
PS0704-065,Ngulu Primary School,Mwanga,Kilimanjaro,56.75675676,7917,34,6,17.64705882,7337,primary,government,Kwakoa,388,7,,0,37,21,39.10969793,37.6890467877,-3.7965778426,"(-3.7965778426, 37.6890467877)"
PS0704-066,Nyabinda Primary School,Mwanga,Kilimanjaro,57.97101449,6921,36,19,52.77777778,2898,primary,government,Lang'ata,329,7,,0,69,40,5.193236715,37.4465647422,-3.7447710734,"(-3.7447710734, 37.4465647422)"
PS0704-067,Raa Primary School,Mwanga,Kilimanjaro,100,1434,28,5,17.85714286,6708,primary,government,Kifula,249,5,,0,25,25,82.14285714,37.6579418053,-3.6086585764,"(-3.6086585764, 37.6579418053)"
PS0704-068,Rangaa Primary School,Mwanga,Kilimanjaro,100,1810,35,8,22.85714286,6004,primary,government,Kifula,261,6,,0,27,27,77.14285714,37.6527544393,-3.6284491848,"(-3.6284491848, 37.6527544393)"
PS0704-069,Shighatini Primary School,Mwanga,Kilimanjaro,58.62068966,7358,24,6,25,4759,primary,government,Shighatini,211,9,3,0,29,17,33.62068966,37.6671081277,-3.7880514349,"(-3.7880514349, 37.6671081277)"
PS0704-070,Simbomu Primary School,Mwanga,Kilimanjaro,95,762,34,0,0,10590,primary,government,Msangeni,206,5,,0,20,19,95,37.6347917827,-3.618672318,"(-3.618672318, 37.6347917827)"
PS0704-071,Soffe Primary School,Mwanga,Kilimanjaro,25.80645161,9831,25,9,36,3820,primary,government,Kilomeni,163,7,,0,31,8,-10.19354839,37.6402404862,-3.7708795148,"(-3.7708795148, 37.6402404862)"
PS0704-072,Songoa Primary School,Mwanga,Kilimanjaro,72,2205,27,11,40.74074074,3311,primary,government,Ngujini,133,6,,0,25,18,31.25925926,37.6165106638,-3.7170013429,"(-3.7170013429, 37.6165106638)"
PS0704-073,Sungo Primary School,Mwanga,Kilimanjaro,82.35294118,3429,20,10,50,3483,primary,government,Msangeni,145,5,,0,17,14,32.35294118,37.6617706453,-3.6616287185,"(-3.6616287185, 37.6617706453)"
PS0704-074,Toloha Primary School,Mwanga,Kilimanjaro,19.04761905,12229,21,12,57.14285714,2642,primary,government,Toloha,213,6,,0,21,4,-38.0952381,37.7844127699,-3.7231555669,"(-3.7231555669, 37.7844127699)"
PS0704-075,Usangi Primary School,Mwanga,Kilimanjaro,50,6816,36,35,97.22222222,608,primary,government,Chomvu,220,8,3,0,36,18,-47.22222222,37.6489564861,-3.7058004888,"(-3.7058004888, 37.6489564861)"
PS0704-076,Vuchama Primary School,Mwanga,Kilimanjaro,84,3304,40,2,5,11402,primary,government,Mwaniko,186,7,,0,25,21,79,37.6675649567,-3.5900772614,"(-3.5900772614, 37.6675649567)"
PS0704-077,Kamwala Primary School,Mwanga,Kilimanjaro,92.85714286,4932,14,6,42.85714286,2871,primary,government,Kighare,150,6,1,0,14,13,50,37.6402628612,-3.7036978879,"(-3.7036978879, 37.6402628612)"
PS0704-079,Ibaya Primary School,Mwanga,Kilimanjaro,84,2584,26,15,57.69230769,2597,primary,government,Shighatini,134,5,,0,25,21,26.30769231,37.6453075259,-3.6779109842,"(-3.6779109842, 37.6453075259)"
PS0704-080,Kambi-ya-simba Primary School,Mwanga,Kilimanjaro,62.5,6448,13,1,7.692307692,11303,primary,,,,,,,16,10,54.80769231,,,
PS0704-081,Kitopeni Primary School,Mwanga,Kilimanjaro,69.23076923,6196,21,7,33.33333333,5297,primary,government,Kileo,157,7,1,0,13,9,35.8974359,,,
PS0704-082,Kwakihindi Primary School,Mwanga,Kilimanjaro,100,1206,22,5,22.72727273,7717,primary,government,Kigonigoni,125,6,,0,18,18,77.27272727,37.7172581747,-3.7277090622,"(-3.7277090622, 37.7172581747)"
PS0704-083,Msaleni Primary School,Mwanga,Kilimanjaro,57.77777778,7876,37,11,29.72972973,5784,primary,government,Shighatini,218,6,2,0,45,26,28.04804805,37.6335243107,-3.6711820388,"(-3.6711820388, 37.6335243107)"
PS0704-084,Mwai Primary School,Mwanga,Kilimanjaro,47.82608696,5898,27,19,70.37037037,1960,primary,government,Msangeni,221,6,,0,23,11,-22.54428341,37.6137596381,-3.6091166561,"(-3.6091166561, 37.6137596381)"
PS0704-085,Ndea Primary School,Mwanga,Kilimanjaro,100,3384,9,0,0,15350,primary,government,Toloha,190,5,,0,5,5,100,37.8342666635,-3.7704202029,"(-3.7704202029, 37.8342666635)"
PS0704-086,Viziwi-mwanga Primary School,Mwanga,Kilimanjaro,100,1194,12,10,83.33333333,1993,primary,,,,,,,11,11,16.66666667,,,
PS0704-087,Kaili Primary School,Mwanga,Kilimanjaro,100,2621,19,12,63.15789474,1197,primary,government,Lembeni,127,9,3,0,19,19,36.84210526,37.5978733447,-3.7856355469,"(-3.7856355469, 37.5978733447)"
PS0704-088,Kitoghoto Primary School,Mwanga,Kilimanjaro,9.090909091,12804,15,4,26.66666667,8255,primary,government,Kivisini,92,5,,0,11,1,-17.57575758,37.6725758146,-3.5357359658,"(-3.5357359658, 37.6725758146)"
PS0704-089,Ruru Primary School,Mwanga,Kilimanjaro,66.66666667,3771,13,4,30.76923077,5067,primary,government,Kigonigoni,155,5,,0,12,8,35.8974359,37.7623378294,-3.6567628598,"(-3.6567628598, 37.7623378294)"
PS0704-090,Shighati Primary School,Mwanga,Kilimanjaro,64,6235,23,6,26.08695652,4817,primary,government,Kilomeni,92,5,,0,25,16,37.91304348,,,
PS0704-091,Reli Juu Primary School,Mwanga,Kilimanjaro,90.90909091,1329,57,22,38.59649123,3943,primary,government,Mwanga,420,10,,0,66,60,52.31259968,37.5692538328,-3.6612321143,"(-3.6612321143, 37.5692538328)"
PS0704-092,Kwamavusha Primary School,Mwanga,Kilimanjaro,85.29411765,2851,29,16,55.17241379,2391,primary,government,Mwanga,234,17,2,0,34,29,30.12170385,37.5788430021,-3.6543648109,"(-3.6543648109, 37.5788430021)"
PS0704-093,Emangulai Primary School,Mwanga,Kilimanjaro,27.77777778,11633,6,1,16.66666667,9164,primary,government,Kirya,216,5,,0,18,5,11.11111111,37.4690004764,-3.8815059764,"(-3.8815059764, 37.4690004764)"
PS0704-094,Mwangondi Primary School,Mwanga,Kilimanjaro,74.50980392,3897,45,26,57.77777778,2085,primary,government,Mwanga,249,12,2,0,51,38,16.73202614,37.5878647504,-3.6533661382,"(-3.6533661382, 37.5878647504)"
PS0704-095,Bwawani Primary School,Mwanga,Kilimanjaro,50,8226,47,18,38.29787234,3893,primary,government,Lang'ata,281,6,3,0,38,19,11.70212766,37.4438749102,-3.6559219537,"(-3.6559219537, 37.4438749102)"
PS0704-096,Majengo Primary School,Mwanga,Kilimanjaro,51.02040816,7505,30,6,20,6481,primary,government,Kileo,320,10,3,0,49,25,31.02040816,37.5541808358,-3.5435263434,"(-3.5435263434, 37.5541808358)"
PS0704-097,Kamani Primary School,Mwanga,Kilimanjaro,17.85714286,12622,22,0,0,13050,primary,government,Mgagao,219,6,,0,28,5,17.85714286,37.6805160064,-3.9160065558,"(-3.9160065558, 37.6805160064)"
PS0704-098,Dr.Omari Primary School,Mwanga,Kilimanjaro,100,790,22,14,63.63636364,1348,primary,,,,,,,32,32,36.36363636,37.4740426942,-3.7695269373,"(-3.7695269373, 37.4740426942)"
PS0704-099,Kalimani Primary School,Mwanga,Kilimanjaro,96.42857143,936,30,11,36.66666667,4325,primary,government,Kileo,281,7,2,0,28,27,59.76190476,37.5448221111,-3.5072992499,"(-3.5072992499, 37.5448221111)"
PS0704-100,Kawawa Primary School,Mwanga,Kilimanjaro,82.45614035,2520,67,36,53.73134328,2657,primary,government,Mwanga,385,10,,0,57,47,28.72479707,37.5730704019,-3.6728237576,"(-3.6728237576, 37.5730704019)"
PS0704-101,Mkombozi Primary School,Mwanga,Kilimanjaro,58.82352941,6733,45,12,26.66666667,7348,primary,government,Kileo,304,10,,0,34,20,32.15686275,37.5814301181,-3.4817876953,"(-3.4817876953, 37.5814301181)"
PS0704-102,Mnoa Primary School,Mwanga,Kilimanjaro,27.77777778,11093,23,2,8.695652174,8660,primary,government,Kileo,179,8,2,0,18,5,19.0821256,37.5692652629,-3.4673166787,"(-3.4673166787, 37.5692652629)"
PS0704-103,Mkongea Primary School,Mwanga,Kilimanjaro,51.72413793,9801,30,10,33.33333333,4628,primary,government,Kwakoa,186,6,,0,29,15,18.3908046,37.7056111394,-3.7926142082,"(-3.7926142082, 37.7056111394)"
PS0704-104,Prof Maghembe Primary School,Mwanga,Kilimanjaro,66.66666667,4201,29,10,34.48275862,5240,primary,,,,,,,36,24,32.18390805,,,
PS0704-105,Kisekibaha Primary School,Mwanga,Kilimanjaro,50,6982,24,6,25,6777,primary,government,Lembeni,205,8,,0,20,10,25,,,
PS0704-106,Njuweni Primary School,Mwanga,Kilimanjaro,11.11111111,11923,31,3,9.677419355,10687,primary,government,Mwaniko,160,6,2,0,27,3,1.433691756,37.6624158406,-3.5839194617,"(-3.5839194617, 37.6624158406)"
PS0704-107,Muungano Primary School,Mwanga,Kilimanjaro,52.94117647,6265,27,6,22.22222222,5703,primary,government,Kileo,254,8,2,0,34,18,30.71895425,37.5690199194,-3.498681442,"(-3.498681442, 37.5690199194)"
PS0704-108,Mandaka Primary School,Mwanga,Kilimanjaro,80.95238095,3930,31,12,38.70967742,3564,primary,government,Mwanga,138,10,,0,21,17,42.24270353,37.5814301147,-3.6406489026,"(-3.6406489026, 37.5814301147)"
PS0704-109,Msafiri English Medium,Mwanga,Kilimanjaro,100,592,15,15,100,311,primary,,,,,,,23,23,0,,,
PS0704-110,Green Bird English Medium,Mwanga,Kilimanjaro,100,329,16,16,100,313,primary,,,,,,,14,14,0,,,
PS0704-111,Amani Vumwe English Medium,Mwanga,Kilimanjaro,100,958,2,2,100,555,primary,,,,,,,7,7,0,,,
PS0704-112,Mombea Primary School,Mwanga,Kilimanjaro,38.70967742,9526,40,9,22.5,6307,primary,government,Shighatini,219,7,3,0,31,12,16.20967742,37.6328775073,-3.6524592042,"(-3.6524592042, 37.6328775073)"
PS0705-001,Amrushu Primary School,Rombo,Kilimanjaro,90,1412,40,23,57.5,2535,primary,government,Kirwa,263,9,2,,40,36,32.5,37.5842826143,-3.1531692993,"(-3.1531692993, 37.5842826143)"
PS0705-002,Booni Primary School,Rombo,Kilimanjaro,70,4591,53,30,56.60377358,2110,primary,government,Aleni,342,10,2,,50,35,13.39622642,37.6495460237,-3.2332822477,"(-3.2332822477, 37.6495460237)"
PS0705-003,Hakwe Primary School,Rombo,Kilimanjaro,37.5,8982,73,11,15.06849315,11548,primary,government,Mamsera,378,9,2,,40,15,22.43150685,37.6076557356,-3.2746395109,"(-3.2746395109, 37.6076557356)"
PS0705-004,Hiti Primary School,Rombo,Kilimanjaro,55.81395349,6497,54,25,46.2962963,4036,primary,government,Keni,299,9,2,,43,24,9.517657192,37.5867655404,-3.1400946486,"(-3.1400946486, 37.5867655404)"
PS0705-005,Holili Primary School,Rombo,Kilimanjaro,76,4866,43,22,51.1627907,2857,primary,government,Holili,473,10,2,,50,38,24.8372093,37.6361619516,-3.3613427293,"(-3.3613427293, 37.6361619516)"
PS0705-006,Huruma Primary School,Rombo,Kilimanjaro,86.95652174,965,55,42,76.36363636,784,primary,government,Mokala,445,11,2,,46,40,10.59288538,37.6241993458,-3.1915080883,"(-3.1915080883, 37.6241993458)"
PS0705-007,Iburieni Primary School,Rombo,Kilimanjaro,39.47368421,8798,35,10,28.57142857,4663,primary,government,Mengeni,220,6,2,,38,15,10.90225564,37.6208209,-3.2415282,"(-3.2415282, 37.6208209)"
PS0705-008,Ikuini Primary School,Rombo,Kilimanjaro,50,7146,52,28,53.84615385,2560,primary,government,Ikuini,228,9,2,,28,14,-3.846153846,37.6635494893,-3.1833748429,"(-3.1833748429, 37.6635494893)"
PS0705-009,Itembweni Primary School,Rombo,Kilimanjaro,88.88888889,2096,33,15,45.45454545,2963,primary,government,Shimbi,273,8,2,,45,40,43.43434343,37.6039633,-3.2244112,"(-3.2244112, 37.6039633)"
PS0705-010,Kafufuu Primary School,Rombo,Kilimanjaro,66.66666667,4172,36,22,61.11111111,1700,primary,government,Ikuini,212,9,2,,33,22,5.555555556,37.6302001303,-3.1785644825,"(-3.1785644825, 37.6302001303)"
PS0705-011,Kafumbu Primary School,Rombo,Kilimanjaro,64.70588235,2808,102,68,66.66666667,1306,primary,government,Reha,651,15,2,,85,55,-1.960784314,37.5947802192,-3.0109886512,"(-3.0109886512, 37.5947802192)"
PS0705-012,Kahe-usseri Primary School,Rombo,Kilimanjaro,32.94117647,10500,58,18,31.03448276,7803,primary,,,,,,,85,28,1.906693712,,,
PS0705-013,Kasirwa Primary School,Rombo,Kilimanjaro,27.41935484,10479,50,19,38,5692,primary,government,Reha,490,13,2,,62,17,-10.58064516,37.5566645675,-3.0301575481,"(-3.0301575481, 37.5566645675)"
PS0705-014,Keni-mengeni Primary School,Rombo,Kilimanjaro,75,4186,42,18,42.85714286,3729,primary,,,,,,,36,27,32.14285714,,,
PS0705-015,Keni-aleni Primary School,Rombo,Kilimanjaro,93.47826087,1452,45,37,82.22222222,972,primary,,,,,,,46,43,11.25603865,37.6221726864,-3.233371944,"(-3.233371944, 37.6221726864)"
PS0705-016,Katangara Primary School,Rombo,Kilimanjaro,72,4923,41,22,53.65853659,2172,primary,government,Mrere,335,8,2,,50,36,18.34146341,37.5919888858,-3.1364840024,"(-3.1364840024, 37.5919888858)"
PS0705-017,Keni-mrere Primary School,Rombo,Kilimanjaro,66.66666667,5442,46,22,47.82608696,2576,primary,,,,,,,36,24,18.84057971,37.6076226874,-3.1529024414,"(-3.1529024414, 37.6076226874)"
PS0705-018,Keryo Primary School,Rombo,Kilimanjaro,72.5,3949,63,30,47.61904762,3825,primary,government,Keryo,371,12,2,,40,29,24.88095238,37.5910809418,-3.16268412,"(-3.16268412, 37.5910809418)"
PS0705-019,Kibaoni Primary School,Rombo,Kilimanjaro,43.07692308,8245,79,32,40.50632911,4372,primary,government,Reha,572,13,2,,65,28,2.570593963,37.5670939274,-3.0213804605,"(-3.0213804605, 37.5670939274)"
PS0705-020,Kibosou Primary School,Rombo,Kilimanjaro,36.84210526,8603,19,8,42.10526316,3770,primary,government,Ngoyoni,195,6,2,,38,14,-5.263157895,37.6421874297,-3.2519221147,"(-3.2519221147, 37.6421874297)"
PS0705-021,Kifufuu Primary School,Rombo,Kilimanjaro,91.52542373,1836,52,47,90.38461538,813,primary,government,Makiidi,422,10,2,,59,54,1.140808344,,,
PS0705-022,Kiishi Primary School,Rombo,Kilimanjaro,50.90909091,8205,49,15,30.6122449,4842,primary,government,Olele,372,12,2,,55,28,20.29684601,37.5826241627,-3.1219100307,"(-3.1219100307, 37.5826241627)"
PS0705-023,Kikelelwa Primary School,Rombo,Kilimanjaro,50.72463768,5756,79,40,50.63291139,2355,primary,government,Kitendeni,534,13,2,,69,35,0.091726289,37.5314742111,-2.969898951,"(-2.969898951, 37.5314742111)"
PS0705-024,Kilesi Primary School,Rombo,Kilimanjaro,59.375,6441,43,20,46.51162791,3494,primary,government,Mengeni,235,7,2,,32,19,12.86337209,37.6116783,-3.2416694,"(-3.2416694, 37.6116783)"
PS0705-025,Kilawoi Primary School,Rombo,Kilimanjaro,50,7057,92,29,31.52173913,5498,primary,government,Kahe,772,18,2,,72,36,18.47826087,37.5779029023,-3.0661457641,"(-3.0661457641, 37.5779029023)"
PS0705-026,Kimanyatu Primary School,Rombo,Kilimanjaro,33.33333333,10707,91,30,32.96703297,5702,primary,government,Reha,657,15,2,,90,30,0.366300366,37.5740018984,-3.0429510923,"(-3.0429510923, 37.5740018984)"
PS0705-027,Kimwingeni Primary School,Rombo,Kilimanjaro,55.81395349,6755,58,27,46.55172414,2847,primary,government,Manda,286,8,2,,43,24,9.262229351,37.6245733406,-3.2481266536,"(-3.2481266536, 37.6245733406)"
PS0705-028,Kingachi Primary School,Rombo,Kilimanjaro,37.5,9994,41,5,12.19512195,8940,primary,government,Kingachi,256,9,2,,40,15,25.30487805,37.6372441996,-3.0749511991,"(-3.0749511991, 37.6372441996)"
PS0705-029,Kinyauli Primary School,Rombo,Kilimanjaro,61.53846154,5142,55,15,27.27272727,5879,primary,government,Mrao,338,10,2,,52,32,34.26573427,37.5793497529,-3.1680403515,"(-3.1680403515, 37.5793497529)"
PS0705-030,Kirachi Primary School,Rombo,Kilimanjaro,77.27272727,3946,40,21,52.5,2233,primary,government,Kisale,349,10,2,,44,34,24.77272727,37.667406068,-3.1580550091,"(-3.1580550091, 37.667406068)"
PS0705-031,Kiraeni Primary School,Rombo,Kilimanjaro,48.7804878,7262,37,11,29.72972973,5075,primary,government,Keni,252,11,2,,41,20,19.05075808,37.6470514531,-3.159195351,"(-3.159195351, 37.6470514531)"
PS0705-032,Kiraro Primary School,Rombo,Kilimanjaro,68.75,4237,51,22,43.1372549,4296,primary,government,Kingachi,440,11,2,,48,33,25.6127451,,,
PS0705-033,Kirokomu Primary School,Rombo,Kilimanjaro,86.84210526,1978,48,48,100,509,primary,government,Shimbi,212,8,2,,38,33,-13.15789474,37.6519889,-3.2026427,"(-3.2026427, 37.6519889)"
PS0705-034,Kirongo-chini Primary School,Rombo,Kilimanjaro,50,7269,42,6,14.28571429,7592,primary,,,,,,,46,23,35.71428571,37.6225526953,-3.0884356073,"(-3.0884356073, 37.6225526953)"
PS0705-035,Kirongo-juu Primary School,Rombo,Kilimanjaro,77.19298246,3154,62,37,59.67741935,1860,primary,,,,,,,57,44,17.5155631,37.5954001778,-3.0947761777,"(-3.0947761777, 37.5954001778)"
PS0705-036,Kirua-rombo Primary School,Rombo,Kilimanjaro,79.31034483,2393,32,25,78.125,1397,primary,,,,,,,29,23,1.185344828,37.6037289582,-3.1579710863,"(-3.1579710863, 37.6037289582)"
